epoch,training_loss,test_loss,training_acc,test_acc,training_dice_coeff,test_dice_coeff
1,0.20622313276502738,0.13242411815505373,0.9419028869758496,0.9451570682490893,0.34605603940880664,0.3724641355988124
2,0.10993981254613323,0.09502665309204919,0.9490214263203289,0.9508772386227801,0.46511611288364313,0.44094602715544967
3,0.08635143601116102,0.08276134757121485,0.9519397724256903,0.9534217798340735,0.48192432244966876,0.4226881214589155
4,0.07657392040654352,0.0933599537849182,0.9522565643245752,0.9487670809497385,0.5166155007637211,0.5126388680142655
5,0.06898608631721348,0.07268193341241996,0.9543789601579082,0.950222065687613,0.5291104844352698,0.5391189313773193
6,0.06292900815012918,0.06462141267364957,0.9546325761345539,0.9523281410092211,0.5646109385343167,0.5255093363446744
7,0.05903646532612242,0.0577415857855943,0.9550633625265391,0.9549202162667915,0.5615202764785467,0.49738454745286537
8,0.0547845052839939,0.0561322200091688,0.955949919552813,0.9532051305996692,0.5722623277661908,0.5571172193882088
9,0.051044856008308326,0.0540931567287612,0.957083976081475,0.953161314250342,0.5853776559323511,0.5474763649706962
10,0.04724204530168301,0.05745378590718197,0.9578426676950629,0.9493193279328895,0.6018076886054691,0.5973805721284671
11,0.04414363194162109,0.04931812007947128,0.9584925068006901,0.9547692848858729,0.6234640648522847,0.5243864956170443
12,0.041098037473620126,0.05235094761811807,0.9596324517316879,0.953417444003302,0.6400089373491732,0.38939108578991494
13,0.037480436876463664,0.047750754696647815,0.961107745322452,0.9482745839381257,0.6760829989724935,0.595780972362466
14,0.03431961691944273,0.045460800647918805,0.962728569532909,0.9505480534565686,0.6799542576638599,0.6059362384578753
15,0.03112292864543807,0.04186860555172211,0.964498283240446,0.9527168226676347,0.7234140835314747,0.5096644536863016
16,0.029315449875797248,0.04166611174599883,0.965111071025743,0.9509428897711744,0.730196155388467,0.5972748978906323
17,0.026451907221488893,0.03838695766266863,0.9670329501725051,0.9513623847336063,0.7495393629668482,0.6018820292179614
18,0.024694555969968154,0.040227593670222564,0.9676532850650217,0.9498984437258083,0.7598049975831112,0.6201609903866275
19,0.02320785914802817,0.03670943689614005,0.9685811853105095,0.9526666470998398,0.7623401821905743,0.6028583438847243
20,0.021187520915179687,0.03878422388030837,0.9698633227176228,0.9508646402550098,0.7834024403504499,0.5774617274783556
21,0.020156624807033,0.03433013921590838,0.9703665323115712,0.953767712424579,0.7835884743440619,0.595783008497747
22,0.018941527096091943,0.035285133288923874,0.9709601827892783,0.9515227437670765,0.7906504192483591,0.5911736048722972
23,0.017506941820785497,0.040475128212806265,0.9716265052746814,0.9445190607567732,0.797542258529021,0.6258934273516025
24,0.01652334660742503,0.03605145498947367,0.9719714951565821,0.9488727284693758,0.8038766712720727,0.571511860061985
25,0.015718930510649827,0.0340240288480017,0.9720944466560506,0.9494471259890139,0.8015767830031658,0.6243293092873928
26,0.014519565338328195,0.031793190664459084,0.9732129735602448,0.9525492906136162,0.8063428148477005,0.6182926868632946
27,0.01348207080380837,0.036504898881259795,0.9736304903131635,0.9471021397213676,0.8158952760868711,0.6302570177362965
28,0.013306947029047425,0.02975934616587751,0.9733437831740971,0.9518569407089588,0.8130684989678316,0.6190017308315604
29,0.013266320166824634,0.033438777869765755,0.9726278654126862,0.9447183310920421,0.7886509970651712,0.6138569489881721
30,0.012729560772467192,0.02963249930218778,0.9722229548168789,0.9520920405709244,0.7957353823437069,0.6163388037922993
31,0.01109028934162988,0.034250988966284084,0.97418049611863,0.9454052378614526,0.817758751124814,0.631490856406143
32,0.010353732042928126,0.02835273478610207,0.9744316655055733,0.9521600931025147,0.8168570620949932,0.6209434931467862
33,0.009789357738937162,0.027486979798541044,0.9746831873673034,0.9526050160447972,0.8296339701971014,0.6207732511924331
34,0.00907371000084243,0.028077753522825207,0.97520905901672,0.9513921129681805,0.8337459737661205,0.6313318626620736
35,0.008598309171914011,0.027293073906896566,0.9753296883293523,0.951675863074909,0.8322821366210261,0.6312239432272735
36,0.008201555237707913,0.02634733125072512,0.9754629652667195,0.9515905472663364,0.830125405246497,0.6301563244681426
37,0.007731212308974403,0.02630415786365607,0.9755119385283976,0.9514693930370559,0.8324579764746142,0.6287123085576014
38,0.0072984799007131795,0.027095679271345336,0.9756256427481425,0.9506196546988835,0.8401802487122374,0.6223769055434768
39,0.006927821313618285,0.02473343218851051,0.9758097175225576,0.9533992957721427,0.8366571930854896,0.6137070282878615
40,0.006663178454841351,0.024485736476865604,0.9756984184248937,0.9518696413578667,0.828814168850595,0.6111219945655755
41,0.006437748901925649,0.02349747418390353,0.975681375232219,0.9527003153816591,0.8309040913706841,0.6186698967661409
