epoch,training_loss,test_loss,training_acc,test_acc,training_dice_coeff,test_dice_coeff
1,0.2636263055992978,0.28528679792577644,0.9202045200892854,0.945061264889852,0.042484551071498323,0.0020994719166581724
2,0.0890879118016788,0.2597674431449747,0.9470059833829363,0.9456456292987446,0.004508091159817253,0.0009184109005509471
3,0.06866289990111477,0.09584845611424538,0.9477400948660715,0.9455628784763759,0.0026127052482587338,0.0006497566970684413
4,0.05870215231109233,0.09226982882588937,0.9481165829613095,0.9458257326555031,0.0012729331508821102,9.546806735063135e-05
5,0.05103174640043151,0.08070538038194054,0.9481978236607141,0.9457887416517139,0.0025891686647474947,0.00015330859226589627
6,0.04959445455155912,0.0927144127533633,0.9481660001240082,0.9457321181593894,0.003183468796501292,0.0003216539289491965
7,0.0439061076735102,0.05348849469048314,0.9482996496775795,0.9458386911881982,0.00047731603218354845,4.229074392414718e-05
8,0.04206040541730111,0.11778864771758238,0.9484267113095239,0.9455617259145732,0.0016833984907467941,0.0015351497517412471
9,0.040733417755525025,0.06077845673506821,0.9486247364831351,0.9457413308662276,0.0016265232798765557,0.00046040812758285047
10,0.038070440281271226,0.048933464280412085,0.9485383339533731,0.9457622327302638,0.0026452896736273088,0.0006480566383977875
11,0.03535889560977618,0.05060328784636578,0.9486649770585323,0.9424671052631574,0.0026548889058089302,0.003222598306022108
12,0.03482991031016267,0.052710175624022006,0.948563182043651,0.9457034131404504,0.004436637794234973,0.0006057747525043398
13,0.0327220741348962,0.05835085528891987,0.9487838851686504,0.9457893568705129,0.0028075123817093753,0.0006708988519300224
14,0.03188556605905649,0.05077300847664812,0.948667767237103,0.9451108172597701,0.0043835207641316895,0.003051529433388841
15,0.030716394282700052,0.05244174731371946,0.9484101717509918,0.9458305375922058,0.005904274772145279,0.003606912413157902
16,0.031846874282651004,0.04314122747164916,0.9487546037946428,0.9452665065540268,0.006534204908652288,0.0020039974052138993
17,0.029546699998900295,0.05444888898758992,0.9486056082589284,0.9458144796027702,0.007971582212432238,0.0018990481128048475
18,0.02831854267444994,0.04281577345842449,0.9486237289186503,0.9456705962794064,0.008912301461921892,0.006677760584571123
19,0.02711290014863369,0.035937027166199,0.9486595362103175,0.9457293847188998,0.008820535446150602,0.004752870736429485
20,0.025845691249040622,0.06108185123874258,0.9484489862351192,0.9458711965460527,0.00995137957460472,0.008843404298533834
21,0.0268970740814915,0.05678475944626949,0.948715076264881,0.9456641637385362,0.013163682614283146,0.007635964479535792
22,0.026479005946644714,0.08039150827423446,0.9487277715773806,0.945056319776714,0.017154686995997454,0.019445542729172892
23,0.024984625614957796,0.03969352378637842,0.9485081070188496,0.9457064113586525,0.01947493626749246,0.015758800671353615
24,0.025049432695266747,0.03866929438621871,0.9485683593750001,0.9458655505507375,0.02600600157494056,0.023248539732343476
25,0.022106640625168525,0.04015043904335332,0.9485806361607144,0.9455380828224678,0.034342756431062355,0.02418275374819253
26,0.0235268360835367,0.2310577481459413,0.9488680865575394,0.9457251249127797,0.035855154057816946,0.043090208465309254
27,0.021227156774451337,0.06086810883060103,0.9488258463541669,0.9457349762011559,0.05057488003047745,0.04200561305305226
28,0.020927861314045178,0.08901863044097395,0.9490099516369049,0.9455572013307415,0.048401158927670634,0.034369295441114785
29,0.021455340390093624,0.11757939531792383,0.9488676835317457,0.9456234035461528,0.07011089080715295,0.05214129280161698
30,0.02182331011253631,0.03757240979481731,0.9489918154761904,0.945588328286982,0.07253383000056439,0.04407855702960858
31,0.0193777928511346,0.0720477412651931,0.9488141121031743,0.9449750252317584,0.07711142621215064,0.07223666297872909
32,0.019553846898045214,0.09634197675468255,0.9488173518105161,0.9455283872856857,0.09683056956491616,0.06822722346530989
33,0.0179208984764825,0.05378464052568382,0.949297774057539,0.9447140867972489,0.10296111971054583,0.08604711833128846
34,0.016231589252683556,0.028896802309363007,0.9492712673611113,0.945415420653908,0.1135376463114894,0.07550929808563442
35,0.01728238706377202,0.042177981224338065,0.9495562841021822,0.9441171999601286,0.1332225528538855,0.08910450076512935
36,0.018700123219085592,0.0657940420913457,0.9494757874503963,0.943994685755582,0.14337795035758685,0.11469560235357294
37,0.01695725581375882,0.0482511802426011,0.949769500248016,0.9454430354116831,0.15439265654008363,0.07432221054844802
38,0.016811053907786984,0.0560205589700807,0.9495221044146825,0.9442590195748612,0.17799223410176965,0.12405303832128037
39,0.015844970383027214,0.08873618274208891,0.9498436259920627,0.9384473123504775,0.18686658332787529,0.16935388534434315
40,0.01512758503363113,0.03490294509711412,0.9500320250496026,0.9444685833457931,0.19833776714179913,0.1295483982879599
41,0.014099782164530119,0.05097239011443785,0.9500820002480158,0.9446336410984841,0.20992145771257226,0.11258667011941485
42,0.014141968824246544,0.05069329153864244,0.9499900328621036,0.9446698844946172,0.19538045873742155,0.1299181065953136
43,0.014727967345277735,0.03720078106568669,0.9501716424851191,0.9443860427880783,0.22319868861743913,0.1362987116163055
44,0.014530947564690862,0.03192979633780216,0.9498538256448416,0.944994431880482,0.2298380656464277,0.12732310238737893
45,0.013419296500173265,0.033793832755369235,0.9503389446924602,0.942079385030403,0.23661829248461783,0.16188991901037741
46,0.013299483706803238,0.03640734952225982,0.9505296688988097,0.9370260245339911,0.2361039209491727,0.23168809046373778
