epoch,training_loss,test_loss,training_acc,test_acc,training_dice_coeff,test_dice_coeff
1,0.21747632459515617,0.18916396223650309,0.9447620752728174,0.9336568138207731,0.017736758501115914,0.022620074691241186
2,0.11813348815554664,0.12223890223919133,0.9467971695188488,0.9385078607829946,0.0032635697418731506,0.010954366415469475
3,0.08813452191118683,0.10406745649967789,0.9474042503720239,0.9397342722039477,0.0026453830651966092,0.006047795702896927
4,0.07224411924502679,0.08120868603685541,0.9478280784970233,0.9416028085127595,0.0034711962764760332,0.004235620913479379
5,0.06512554028027115,0.07837574556971227,0.9479571707589285,0.9425618255955939,0.007223644869351771,0.004616027509581778
6,0.05773295028401273,0.06514579497481603,0.9479830419146827,0.9429574268590515,0.013726386017351617,0.007401490608028602
7,0.05253851762751029,0.06164060281138448,0.9479221385168652,0.9429701361891951,0.025541533340406385,0.009382989440748774
8,0.04969031128677584,0.05421513823333361,0.9480110522073409,0.9437925357605662,0.027122931271727355,0.01223542922564942
9,0.04641257311173138,0.0567932103737703,0.9480045572916665,0.9425425980612043,0.04287711962429044,0.034601924046071424
10,0.04400361052137755,0.04633066331693105,0.9479916294642858,0.9435192617997414,0.050405526121891774,0.031619964431903104
11,0.04136677913012959,0.048627227166852506,0.9481469959077387,0.9434266908393135,0.057096260150079826,0.04326018265889878
12,0.03827709493094257,0.0479019320371915,0.9481076078869047,0.9439966248629386,0.061133130335466086,0.05331076584284097
13,0.035617769740167116,0.044592942679484715,0.9481324404761909,0.9435548510391752,0.05823826256056588,0.0516689826641812
14,0.03460872077516147,0.05005775869344406,0.9482217571924609,0.9430398895409692,0.05631202688960607,0.07713208620389173
15,0.032159383315593,0.04073799272538798,0.9483091207837303,0.9440710585501397,0.0560358578226818,0.04649914636183041
16,0.03227264663160202,0.041469587709180425,0.9482448381696427,0.9439385217304634,0.05879326519896194,0.046753684496987725
17,0.030101626869734555,0.04236798586491518,0.9481719370039682,0.9428205289947169,0.0699822399749838,0.07459611784517499
18,0.028355391540875036,0.035441829236842574,0.948346447172619,0.944305145409688,0.06844664032235274,0.041217840822745856
19,0.02753408017479593,0.0348546454610117,0.9485141679067457,0.9438413716731466,0.07542785358308787,0.053936631524897034
20,0.02648924928313742,0.034795191270994404,0.9484439794146824,0.944191734885865,0.07960153917126238,0.07010562630776108
21,0.025315439146721647,0.032202653435775205,0.9484793216765873,0.9443766743296454,0.08554382060627648,0.04302894871954089
22,0.026222539279565568,0.03355433958923471,0.9483791387648808,0.9440301893316392,0.10672818135951621,0.06581848793222089
23,0.024204835286807447,0.03255763894266451,0.9487387152777779,0.9434017004959133,0.10439675670883683,0.08228646593264165
24,0.02410257166318063,0.0336710718891995,0.948864536830357,0.9439531156549035,0.12444058076100246,0.08623296297344682
25,0.0219560417324482,0.03360275751692477,0.9490718625992065,0.942979971902412,0.1298186451199058,0.07174831335801866
26,0.020334520403827938,0.033033455321264484,0.949413054935516,0.9429580031399525,0.1400667321507534,0.13184396759500125
27,0.020730188799401125,0.03305955355277878,0.949619621155754,0.9422622997034489,0.15534775272397378,0.1299861307133191
28,0.019139613568161924,0.03136327566312176,0.9496413225446424,0.9437186472039474,0.16392353652361497,0.09631732449250366
29,0.020312485474693987,0.03154862458829254,0.9497475353422619,0.9416938764702951,0.18056572818792804,0.1662074372872597
30,0.018520591311555888,0.029742308270998587,0.9500904482886904,0.9426894951779301,0.18940993218776744,0.14399322602792602
31,0.017755882359952443,0.028591979345668532,0.9501041821676587,0.9432457074860449,0.19891181847793518,0.12618700548935244
32,0.017734309148398183,0.031297885211281816,0.9506308593749995,0.94378754392195,0.2184058219891717,0.11315309761568228
33,0.0168508829615478,0.027861273715160586,0.950424091641865,0.9435115676709517,0.21309819710823127,0.11682314646627227
34,0.015949075907147267,0.028958800176808023,0.9510501922123015,0.9436969432191977,0.21748809727536156,0.10646141052290592
35,0.015435877005802467,0.028140260059775424,0.9509343843005955,0.942927063085626,0.22631431584639874,0.15947411769188688
36,0.015780863863238622,0.028060892845233,0.9510999658978173,0.942490421276914,0.2350981768941438,0.1694522827831084
37,0.01491175769451296,0.026250898119585916,0.9510514477926585,0.9428368206115433,0.24968222445351793,0.16238829492493012
38,0.014404040134589497,0.027843396980673327,0.951436569940476,0.9425747296152318,0.26172996766694295,0.18234014586654831
39,0.01442828482970418,0.026875865459281997,0.951612242683532,0.9432404586572971,0.2644557668929332,0.17474287801825725
40,0.014115573541494087,0.028728297534509614,0.9517590370783728,0.9414967572517939,0.2640190135579886,0.18579100304731705
41,0.013831827001247023,0.026806395493309085,0.9518368055555558,0.9423192502741237,0.2807360863560267,0.19852866643283637
42,0.014017280197281035,0.02699325035316644,0.9514192863343256,0.9426387045828359,0.2734567419838502,0.17689969762045912
43,0.013461760020609724,0.026420875444138504,0.9518854166666668,0.9426173899770736,0.28472515682962574,0.18229867513174333
44,0.012556984459626533,0.025837692991292474,0.9520362723214282,0.9428662109374999,0.2808012776125729,0.2000687376517279
45,0.013321189043649827,0.029259999382328275,0.9519054284474204,0.943455154443282,0.28735978124656303,0.15887320458593462
46,0.014086927372097437,0.026725948388948772,0.9516960565476194,0.9428468042887758,0.28585813426015094,0.1414216393464511
47,0.011653594327037267,0.025928730155188255,0.9520315910218252,0.9436295962295649,0.29958131066790283,0.17436292673505174
48,0.012492750375531613,0.026656230919140864,0.9520534939236106,0.9431862181643729,0.3057761270420699,0.20167561966719758
49,0.012543346999501366,0.025978191021292885,0.9521097160218251,0.9420216401265955,0.3029849157555215,0.22296965627752766
50,0.011621609760498228,0.02593849979162926,0.9522474578373015,0.9424057702850872,0.31516359630131485,0.2054546294927078
51,0.011154944029043518,0.02455993538182304,0.9523151351686506,0.9431497411408489,0.31083650225921766,0.20448759899574315
52,0.011258880364420337,0.02578793693123662,0.9522553788442455,0.9419443483976276,0.3298487381505791,0.22577349177908293
53,0.011358577459274481,0.025041877002172332,0.9525010695684527,0.9427185895758576,0.3220161694627222,0.213909983138542
54,0.010730543983698312,0.02416031581970599,0.9525758773561506,0.9436174476051631,0.3389447081717461,0.2071340163126625
55,0.011826615645051268,0.025264014467885888,0.9522891865079363,0.9411415423768936,0.32530036192063566,0.23860056125639686
56,0.011001358309849387,0.025165279342605425,0.9523495008680553,0.9426693798594494,0.3226878640832947,0.24108456103144402
57,0.010393860242800743,0.0254078164638068,0.9524973183283733,0.9420125286582937,0.3337668858141976,0.23055000397263256
58,0.010854228375163595,0.023757807728706597,0.9524989924355163,0.9424353475129573,0.34930356165347887,0.24109759269624106
59,0.010457290371483569,0.023386763873153298,0.9523342943948413,0.9450260027287686,0.33418938545970167,0.17365591645926393
60,0.010935281401422496,0.02522664715346172,0.9526306733630953,0.943874640213815,0.33111220329465557,0.20227402844352366
61,0.010579481027976033,0.02597471958778046,0.9525861235119049,0.9436706679251391,0.3406634666538503,0.18751116097027806
62,0.009675645720355014,0.02546060595230728,0.952735491071429,0.9441779664448765,0.3470929746178649,0.17098254163632534
63,0.010399518581730912,0.024414539940479565,0.9526174975198411,0.9423257840535285,0.33564121930544677,0.22286273954808966
64,0.010217466350600479,0.02225038825046782,0.9523590339781746,0.9436393462794059,0.34865564935270593,0.22267364608812704
65,0.010557005998201757,0.023518787495199898,0.9524066065228173,0.943819839015152,0.35649911653875493,0.20436703776701332
66,0.009725873327434307,0.023838851005492736,0.9527440321180562,0.9445378382924642,0.33849359324058753,0.1797866337362227
67,0.009833554689317852,0.025237355334609406,0.9526077008928573,0.9432183886562998,0.3577189987039818,0.23072326576798594
68,0.009546052779062718,0.02333451432917664,0.9527293836805558,0.9437798108552635,0.3604426792128883,0.2138200320071168
69,0.009150776274674128,0.02548155680450904,0.9526585751488096,0.9428013559733848,0.36980307095375836,0.22245406592631842
70,0.008939382683144816,0.023694988599879546,0.952892252604167,0.9434507233104069,0.35935303234623345,0.23695918884820868
71,0.009107317053816847,0.02383207724018027,0.9527830791170635,0.9431432618745014,0.3647946382918259,0.22068085719222263
72,0.009552750649648563,0.02392304832442735,0.9527780877976189,0.9402888335451564,0.3577395987833188,0.2904524457189644
73,0.008932256196151555,0.02531553514365276,0.9527820560515877,0.9415402430970898,0.370035115065827,0.2593680702936891
74,0.008845574927112293,0.02204596849099944,0.9526344711061512,0.9417840644313203,0.37116866709434526,0.2596974300130468
75,0.009141586439034741,0.022924890064819903,0.952783947172619,0.942677206377093,0.3635741642792909,0.25266681085445786
76,0.008575228891346515,0.02265431333825743,0.952424851190476,0.9422982861094503,0.36908051118422175,0.25462549243556815
77,0.009689791489429245,0.02293710141901049,0.9524915829613094,0.9429976497084328,0.38932403240550095,0.24863445569846218
78,0.008243171666843062,0.02233115823365338,0.9528699156746033,0.9429448499177625,0.37174094274802605,0.25785703043284414
79,0.007584522977309202,0.02406007919733277,0.9527214626736111,0.9426780396481259,0.3894667464661713,0.24887277225760204
80,0.00823013051045737,0.024808186472453243,0.9528712487599206,0.9433841550787474,0.3823436014972851,0.21901632202444926
81,0.008311458331584054,0.02291464796194,0.9529139849950397,0.9434570779754781,0.3890713219799615,0.2405385971050103
