epoch,training_loss,test_loss,training_acc,test_acc,training_dice_coeff,test_dice_coeff
1,0.24210917545216423,0.18669062527565009,0.9251195901537699,0.9244858639852473,0.37601519788630494,0.44903426113188094
2,0.1634183900342101,0.14929433627740332,0.9330451078869045,0.9273839027611651,0.46522193532851563,0.478804305479561
3,0.1291002843528986,0.10969828170808879,0.9371756262400796,0.9385617274720884,0.4718260006051636,0.4427921917659581
4,0.10834124739326181,0.10351703593810423,0.9396806485615078,0.9386303905626984,0.48895366458862577,0.4642199831180539
5,0.09270459450781346,0.0894779448317248,0.9431595052083329,0.9406046822044462,0.49970651103181873,0.4733509552466871
6,0.08364796964895158,0.09319427593624549,0.9440591517857144,0.9373554625199362,0.48147114799757484,0.5053907747775518
7,0.07548478937574796,0.0826230158196076,0.9463761160714286,0.9386033287230864,0.49354977168395364,0.4892029015660514
8,0.06991886910760686,0.07154897867109287,0.9463215835813497,0.9450483297198968,0.5093042880452099,0.48147314225303933
9,0.06544928567572719,0.06963845114914353,0.9473968253968255,0.9438331402013554,0.5062285389264046,0.5037091845060262
10,0.06319620699754783,0.06460456506563039,0.9480166790674603,0.9431658536433417,0.5203071188572715,0.5164075000669732
11,0.058481104645345894,0.06413269025590003,0.9485067119295634,0.9427982798793855,0.5432811770237614,0.5179638346871347
12,0.05644710126909472,0.059083548543805424,0.9483223586309525,0.9445787853867628,0.5351884451199,0.5143915795716536
13,0.05360633414238691,0.05682670309778713,0.9484918464781744,0.943678961697569,0.5543396412803769,0.5187685280987604
14,0.05088097791941393,0.07836663766773017,0.9487773127480156,0.937894690116627,0.5739002757017806,0.5038550282066723
15,0.049762618213537196,0.05311358847174098,0.9490760788690477,0.9444720877566777,0.5769858063336915,0.534677966322308
16,0.04904544288736014,0.054441144775697274,0.9491713634672619,0.9443752881404509,0.5648695805331639,0.5388260593381061
17,0.04521065072289535,0.05355731286353579,0.9498827969990078,0.9430757357705342,0.5748279482980124,0.5631494841765171
18,0.043718591438872474,0.048223752489438255,0.9503293030753966,0.9427987704969096,0.6057457768674108,0.5710659363911064
19,0.042045634683398975,0.04899791418351946,0.9503353174603177,0.9450472005208334,0.6080966569018951,0.5496931950851874
20,0.04004962129429692,0.05283933897997346,0.9506785869295636,0.9390859951280903,0.6121177233629401,0.5885047710901768
21,0.03831639999435062,0.04846589771126125,0.9514887927827389,0.9435052986692585,0.6215320843750649,0.5691284041306814
22,0.03619268640343632,0.04612611379456577,0.952314205109127,0.9410736113187796,0.6423258213873593,0.5868786865206085
23,0.03477521845183912,0.048568113001829914,0.9522762276785712,0.9400017210551249,0.6569198513569725,0.588701121364144
24,0.03334677618972602,0.04360315343532176,0.952783389136905,0.9444114536607847,0.6545001342215997,0.5440575534720719
25,0.03218465865634027,0.04460100230257334,0.9532347005208331,0.9408942166317791,0.662003315179591,0.5783899026099117
26,0.030577614202740647,0.04786059179434633,0.9540122147817459,0.9400200530178435,0.6734450896855678,0.5450650813952794
27,0.02988024206743354,0.04203480201757749,0.9542878689236112,0.9427793482730267,0.6752665042663509,0.5614719010261316
28,0.02858990931085178,0.05027230177297475,0.9545989583333334,0.9309535034763763,0.6827605162102343,0.6021529170294387
29,0.026909839344166575,0.040217714488359264,0.9551448722718254,0.943844735907595,0.6904521599537748,0.5598561458675663
